Ranking,Institution,Faculty Count,Average Citations,Country,Continent
428,Kyungpook National University,33,3102.21,South Korea,Asia
429,University of Maine,6,3099.5,USA,North America
430,University of Osnabrück,12,3097.89,Germany,Europe
431,University of Salerno,70,3095.69,Italy,Europe
432,Keio University,17,3086.47,Japan,Asia
433,University of Bamberg,16,3085.92,Germany,Europe
434,PUC-RS,22,3073.23,Brazil,South America
435,DePaul University,45,3042.15,USA,North America
436,Yonsei University,28,3036.16,South Korea,Asia
437,BUPT,83,3005.77,China,Asia
438,Friedrich Schiller University Jena,18,3001.0,Germany,Europe
439,Queen's University Belfast,54,2990.34,UK,Europe
440,IT University of Copenhagen,85,2986.46,Denmark,Europe
441,Southern Methodist University,10,2976.4,USA,North America
442,Ecole Normale Superieure de Lyon,87,2953.16,France,Europe
443,OHSU,10,2946.71,USA,North America
444,Bundeswehr University Munich,21,2940.69,Germany,Europe
445,Boğaziçi University,17,2940.56,Turkey,Europe
446,University of Essex,70,2938.06,UK,Europe
447,IIT Hyderabad,23,2902.32,India,Asia
448,University of Exeter,25,2899.46,UK,Europe
449,Tongji University,23,2881.0,China,Asia
450,Simmons University,1,2879.0,USA,North America
451,UNICAMP,43,2848.67,Brazil,South America
452,Korea University,30,2842.61,South Korea,Asia
453,IMDEA Software Institute,17,2841.75,Spain,Europe
454,Université Laval,23,2841.27,Canada,North America
455,Tilburg University,16,2823.08,Netherlands,Europe
456,Lebanese American University,13,2812.33,Lebanon,Asia
457,University of Twente,1,2800.0,Netherlands,Europe
458,The University of Alabama,17,2788.83,USA,North America
459,NTNU,37,2777.0,Norway,Europe
460,RMIT University,55,2774.92,Australia,Australia
461,Qatar University,30,2768.12,Qatar,Asia
462,Shandong University,33,2763.24,China,Asia
463,University of Tsukuba,66,2756.64,Japan,Asia
464,Texas Tech University,15,2727.25,USA,North America
465,IPM,3,2720.33,Iran,Asia
466,IMSc,8,2693.0,India,Asia
467,University of Malaya,21,2651.75,Malaysia,Asia
468,USP-ICMC,49,2638.2,Brazil,South America
469,IIT Mandi,14,2637.7,India,Asia
470,University of Denver,7,2634.33,USA,North America
471,Hamburg University of Technology,15,2624.5,Germany,Europe
472,Utah State University,12,2607.64,USA,North America
473,University of Alabama - Huntsville,13,2604.25,USA,North America
