Ranking,Institution,Faculty Count,Total h-index,Country,Continent
431,Boise State University,20,314.0,USA,North America
432,Hanyang University,26,313.0,South Korea,Asia
433,Auburn University,17,310.0,USA,North America
434,UFU,31,310.0,Brazil,South America
435,University of Bamberg,16,309.0,Germany,Europe
436,Universidad de los Andes,24,307.0,Colombia,South America
437,University of Koblenz-Landau,19,301.0,Germany,Europe
438,King Abdulaziz University,37,300.0,Saudi Arabia,Asia
439,West Virginia University,15,299.0,USA,North America
440,Colorado School of Mines,12,296.0,USA,North America
441,Tilburg University,16,293.0,Netherlands,Europe
442,University of Louisiana - Lafayette,22,292.0,USA,North America
443,University of L'Aquila,9,290.0,Italy,Europe
444,IIT Hyderabad,23,290.0,India,Asia
445,New Mexico State University,17,283.0,USA,North America
446,University of Aberdeen,14,283.0,UK,Europe
447,UNC - Charlotte,19,281.0,USA,North America
448,Kent State University,24,280.0,USA,North America
449,Brandeis University,16,280.0,USA,North America
450,Ontario Tech University,15,280.0,Canada,North America
451,University of Göttingen,16,278.0,Germany,Europe
452,Universidad de Chile,15,278.0,Chile,South America
453,University of Bayreuth,13,274.0,Germany,Europe
454,DAIICT,27,274.0,India,Asia
455,Cleveland State University,18,273.0,USA,North America
456,Cyprus University of Technology,12,271.0,Cyprus,Europe
457,Ryerson University,19,269.0,Canada,North America
458,Özyeğin University,13,264.0,Turkey,Europe
459,BITS Pilani,22,264.0,India,Asia
460,JUST,22,262.0,Jordan,Asia
461,University of Regina,15,262.0,Canada,North America
462,Ariel University,18,262.0,Israel,Asia
463,University of Dundee,18,259.0,UK,Europe
464,BUET,21,257.0,Bangladesh,Asia
465,University of Szeged,12,255.0,Hungary,Europe
466,University of Texas - El Paso,13,254.0,USA,North America
467,University of Louisville,14,250.0,USA,North America
468,University of Memphis,11,249.0,USA,North America
469,University of Arkansas,19,247.0,USA,North America
470,Tulane University,10,245.0,USA,North America
471,Memorial University of Newfoundland,20,242.0,Canada,North America
472,Louisiana State University,16,238.0,USA,North America
473,University of Oldenburg,16,238.0,Germany,Europe
474,Tata Inst. of Fundamental Research,14,237.0,India,Asia
475,IIT Jodhpur,13,236.0,India,Asia
476,Waseda University,14,235.0,Japan,Asia
477,Brandenburg University of Technology,13,234.0,Germany,Europe
478,Lebanese American University,13,232.0,Lebanon,Asia
479,Friedrich Schiller University Jena,18,231.0,Germany,Europe
480,Utah State University,12,231.0,USA,North America
481,University of Tulsa,11,229.0,USA,North America
482,University of Osnabrück,12,227.0,Germany,Europe
483,Yıldız Technical University,22,225.0,Turkey,Europe
484,Florida Institute of Technology,13,225.0,USA,North America
485,National Institute of Technology Silchar,20,225.0,India,Asia
486,University of Siegen,13,224.0,Germany,Europe
487,University of Marburg,9,220.0,Germany,Europe
488,Koç University,10,217.0,Turkey,Asia
489,Sabancı University,11,215.0,Turkey,Asia
490,University of Miami,11,215.0,USA,North America
491,Portland State University,19,212.0,USA,North America
492,Federal University of Rio Grande,18,212.0,Brazil,South America
493,University of Kassel,12,212.0,Germany,Europe
494,BITS Pilani-Goa,27,211.0,India,Asia
495,University of Mainz,9,211.0,Germany,Europe
496,IIT (BHU) Varanasi,13,209.0,India,Asia
497,CMI,12,206.0,India,Asia
498,University of Salzburg,17,204.0,Austria,Europe
499,Westlake University,3,203.0,China,Asia
500,University at Albany - SUNY,14,202.0,USA,North America
501,Hamburg University of Technology,15,200.0,Germany,Europe
502,Boston College,14,198.0,USA,North America
503,Wichita State University,18,197.0,USA,North America
504,De La Salle University,36,197.0,Philippines,Asia
505,IIT Indore,10,196.0,India,Asia
506,Michigan Technological University,15,196.0,USA,North America
507,IIT Gandhinagar,11,195.0,India,Asia
