Ranking,Institution,Faculty Count,Average of Places From Four Metrics,Country,Continent
516,BITS Pilani,22,494.75,India,Asia
517,IPM,3,496.25,Iran,Asia
518,IIT Jodhpur,13,496.5,India,Asia
519,IIT Indore,10,498.0,India,Asia
520,Loughborough University,23,498.25,UK,Europe
521,Southern Methodist University,10,498.75,USA,North America
522,CMI,12,502.25,India,Asia
523,IUST,26,502.25,Iran,Asia
524,IIT Ropar,12,505.25,India,Asia
525,Mississippi State University,14,505.5,USA,North America
526,Stellenbosch University,7,506.0,South Africa,Africa
527,IIT Mandi,14,507.0,India,Asia
528,Tongji University,23,507.25,China,Asia
529,University of Alabama - Huntsville,13,509.25,USA,North America
530,Memorial University of Newfoundland,20,512.0,Canada,North America
531,University of Mississippi,4,512.25,USA,North America
532,TOBB ETÜ,13,513.5,Turkey,Asia
533,Augusta University,29,514.25,USA,North America
534,University at Albany - SUNY,14,515.25,USA,North America
535,IIT Roorkee,13,516.75,India,Asia
536,Boston College,14,517.5,USA,North America
537,JUST,22,517.75,Jordan,Asia
538,American University in Cairo,9,519.25,Egypt,Africa
539,Ohio University,17,520.5,USA,North America
540,Nova Southeastern University,20,521.25,USA,North America
541,Universidad de los Andes,24,522.25,Colombia,South America
542,University of Jordan,38,522.75,Jordan,Asia
543,BUET,21,523.25,Bangladesh,Asia
544,TU Chemnitz,14,524.0,Germany,Europe
545,Oakland University,13,524.5,USA,North America
546,University of Wisconsin - Milwaukee,11,525.0,USA,North America
547,Ecole Normale Superieure de Rennes,5,525.5,France,Europe
548,Ariel University,18,526.0,Israel,Asia
549,University of Nevada Las Vegas,14,528.0,USA,North America
550,UFU,31,529.0,Brazil,South America
551,University of Cape Town,12,529.5,South Africa,Africa
552,Montana State University,8,529.75,USA,North America
553,University of Denver,7,530.0,USA,North America
554,Michigan Technological University,15,532.25,USA,North America
555,King Abdulaziz University,37,532.75,Saudi Arabia,Asia
556,Yıldız Technical University,22,532.75,Turkey,Europe
557,University of Idaho,13,533.25,USA,North America
558,University of Windsor,19,534.75,Canada,North America
559,Federal University of Rio Grande,18,537.0,Brazil,South America
560,Wichita State University,18,538.5,USA,North America
561,Universidad de Zaragoza,7,539.25,Spain,Europe
562,Universidad Nacional de Córdoba,23,543.75,Argentina,South America
563,DTU,3,544.25,Denmark,Europe
564,LUMS,16,544.5,Pakistan,Asia
565,National Institute of Technology Silchar,20,545.5,India,Asia
566,South Asian University,7,546.75,India,Asia
567,North Dakota State University,5,547.5,USA,North America
568,University of Nicosia,15,550.0,Cyprus,Europe
569,Towson University,24,552.25,USA,North America
570,BITS Pilani-Goa,27,552.75,India,Asia
571,University of Nebraska - Omaha,17,555.5,USA,North America
572,University of New Orleans,10,556.25,USA,North America
573,University of Malta,11,558.25,Malta,Europe
574,SUFE,7,563.25,China,Asia
575,University of Arkansas - Little Rock,7,563.5,USA,North America
576,Galatasaray University,13,564.75,Turkey,Europe
577,De La Salle University,36,565.0,Philippines,Asia
578,New Mexico Tech,7,566.25,USA,North America
579,Babeș-Bolyai University,4,567.75,Romania,Europe
580,Indiana State University,4,567.75,USA,North America
581,UFMS,11,568.75,Brazil,South America
582,Izmir Institute of Technology,11,570.75,Turkey,Asia
583,Royal Military College of Canada,10,574.0,Canada,North America
584,KMUTNB,11,575.5,Thailand,Asia
585,Universidade Federal de Viçosa,13,576.0,Brazil,South America
586,Oklahoma State University,17,577.5,USA,North America
587,Louisiana Tech University,4,579.0,USA,North America
588,Missouri S&T,5,579.75,USA,North America
589,Ruhr-Universty Bochum,1,581.75,Germany,Europe
590,Air Force Institute of Technology,10,583.5,USA,North America
591,TU Freiberg,4,586.25,Germany,Europe
592,University of Colorado - Denver,8,588.0,USA,North America
593,IIT Goa,9,589.25,India,Asia
594,Chulalongkorn University,16,591.25,Thailand,Asia
595,LIU Post,4,592.0,USA,North America
596,Wichita State Unitveristy,1,595.0,USA,North America
