Ranking,Institution,Faculty Count,Total Citations,Country,Continent
284,Hong Kong Baptist University,17,110209.0,Hong Kong,Asia
285,University of Bonn,23,110043.0,Germany,Europe
286,University of Oklahoma,17,106917.0,USA,North America
287,Florida International University,30,106148.0,USA,North America
288,University of Hamburg,27,105777.0,Germany,Europe
289,Hunan University,53,105286.0,China,Asia
290,Open University UK,42,105156.0,UK,Europe
291,University of Texas at San Antonio,20,104598.0,USA,North America
292,University of A Coruña,81,103811.0,Spain,Europe
293,Xi'an Jiaotong University,36,103392.0,China,Asia
294,Concordia University,45,102979.0,Canada,North America
295,University of Otago,17,102007.0,New Zealand,Australia
296,University of Bergen,36,100836.0,Norway,Europe
297,Shenzhen University,51,99687.0,China,Asia
298,Illinois Institute of Technology,24,98532.0,USA,North America
299,Tufts University,19,97773.0,USA,North America
300,University of Innsbruck,16,97679.0,Austria,Europe
301,UCCS,15,97521.0,USA,North America
302,Georgia State University,22,95839.0,USA,North America
303,University of Georgia,25,95282.0,USA,North America
304,University of Western Australia,17,94582.0,Australia,Australia
305,University of Mannheim,10,92767.0,Germany,Europe
306,Texas A&M at Qatar,12,92753.0,Qatar,Asia
307,Heriot-Watt University,43,92692.0,UK,Europe
308,University of Massachusetts Boston,16,92449.0,USA,North America
309,Lund University,14,92388.0,Sweden,Europe
310,Birkbeck University of London,29,91734.0,UK,Europe
311,NTNU,37,91641.0,Norway,Europe
312,Humboldt University of Berlin,20,90926.0,Germany,Europe
313,University of Lübeck,27,90865.0,Germany,Europe
314,Kyungpook National University,33,89964.0,South Korea,Asia
315,Wayne State University,22,89745.0,USA,North America
316,Masaryk University,42,89716.0,Czech Republic,Europe
317,University of Hawaii at Manoa,22,89677.0,USA,North America
318,University of Guelph,30,89237.0,Canada,North America
319,Lehigh University,21,88959.0,USA,North America
320,University of New Brunswick,21,88672.0,Canada,North America
321,HUST,27,88334.0,China,Asia
322,Ben-Gurion University of the Negev,18,88334.0,Israel,Asia
323,University of Würzburg,19,88243.0,Germany,Europe
324,Wuhan University,20,87364.0,China,Asia
325,Université libre de Bruxelles,18,86717.0,Belgium,Europe
326,University of Ulm,18,86310.0,Germany,Europe
327,University of Ioannina,26,86258.0,Greece,Europe
328,Florida Atlantic University,28,86167.0,USA,North America
329,Queensland University of Technology,19,85910.0,Australia,Australia
330,Renmin University of China,50,85026.0,China,Asia
331,Missouri University of Technology,10,84879.0,USA,North America
332,Paderborn University,17,84391.0,Germany,Europe
333,Qatar Computing Research Institute,16,83076.0,Qatar,Asia
334,University of Missouri,16,82916.0,USA,North America
335,Colorado School of Mines,12,82038.0,USA,North America
336,Beihang University,51,80860.0,China,Asia
337,IIIT Delhi,39,80802.0,India,Asia
338,TU Braunschweig,14,80726.0,Germany,Europe
339,College of William and Mary,19,80725.0,USA,North America
340,University of Kentucky,29,80016.0,USA,North America
341,DePaul University,45,79096.0,USA,North America
342,University of Iowa,25,78320.0,USA,North America
343,Case Western Reserve University,18,77809.0,USA,North America
344,ETS Montreal,15,77467.0,Canada,North America
345,IMDEA Networks Institute,12,77385.0,Spain,Europe
346,University of North Texas,27,77334.0,USA,North America
347,University of Münster,23,76337.0,Germany,Europe
348,National Tsing Hua University,42,76074.0,Taiwan,Asia
349,University of Magdeburg,21,76064.0,Germany,Europe
350,Yonsei University,28,75904.0,South Korea,Asia
351,PUC-RIO,20,75552.0,Brazil,South America
352,Massey University,43,72422.0,New Zealand,Australia
353,IIT Delhi,31,71973.0,India,Asia
354,Qatar University,30,71971.0,Qatar,Asia
355,Westlake University,3,70226.0,China,Asia
356,University of New Mexico,14,69708.0,USA,North America
357,Maastricht University,27,69637.0,Netherlands,Europe
358,University of Sussex,25,69617.0,UK,Europe
