Ranking,Institution,Average Citations,Country,Continent
1,Western University,35541.43,Canada,North America
2,Univ. of California - Berkeley,33783.05,USA,North America
3,Max Planck Society,33248.41,Germany,Europe
4,Stanford University,31096.65,USA,North America
5,California Institute of Technology,30275.4,USA,North America
6,Massachusetts Institute of Technology,27843.65,USA,North America
7,Columbia University,26884.52,USA,North America
8,Princeton University,25568.5,USA,North America
9,Univ. of California - Los Angeles,25108.02,USA,North America
10,University of Montreal,25079.08,Canada,North America
11,Weizmann Institute of Science,24700.92,Israel,Asia
12,University of Freiburg,24276.06,Germany,Europe
13,Westlake University,23408.67,China,Asia
14,Harvard University,22430.81,USA,North America
15,Johns Hopkins University,21812.31,USA,North America
16,ETH Zurich,21526.76,Switzerland,Europe
17,University of Waikato,21214.41,New Zealand,Australia
18,NYU Shanghai,21052.0,China,Asia
19,University of Rochester,20361.53,USA,North America
20,Cornell University,18431.03,USA,North America
21,Univ. of California - San Diego,18408.85,USA,North America
22,University of Kansas,17759.5,USA,North America
23,Carnegie Mellon University,17620.46,USA,North America
24,University of Minnesota,17573.6,USA,North America
25,University of Pennsylvania,17352.34,USA,North America
26,HKUST,17217.64,Hong Kong,Asia
27,EPFL,17145.11,Switzerland,Europe
28,Georgetown University,16728.29,USA,North America
29,Università della Svizzera italiana,16650.5,Switzerland,Europe
30,The Hong Kong Polytechnic University,16308.47,Hong Kong,Asia
31,TTI Chicago,16185.69,USA,North America
32,University of Texas at Austin,16103.92,USA,North America
33,Michigan State University,15730.21,USA,North America
34,Ecole Normale Superieure,15486.24,France,Europe
35,University of Southern California,15436.1,USA,North America
36,LMU Munich,14961.65,Germany,Europe
37,KAUST,14563.05,Saudi Arabia,Asia
38,Nanyang Technological University,14360.62,Singapore,Asia
39,Univ. of Illinois at Urbana-Champaign,14284.73,USA,North America
40,Pennsylvania State University,14035.82,USA,North America
41,University of Manitoba,13933.95,Canada,North America
42,Queen’s University,13657.59,Canada,North America
43,University of Edinburgh,13538.31,UK,Europe
44,University of Washington,13526.71,USA,North America
45,University College London,13321.54,UK,Europe
46,University of Alberta,13296.57,Canada,North America
47,University of Chicago,13138.93,USA,North America
48,University of Leipzig,13052.0,Germany,Europe
49,New York University,13030.06,USA,North America
50,University of Notre Dame,12781.68,USA,North America
51,University of Maryland - College Park,12683.59,USA,North America
52,Hasso Plattner Institute,12627.85,Germany,Europe
53,Northeastern University,12546.98,USA,North America
54,Duke University,12410.69,USA,North America
55,University of Amsterdam,12242.88,Netherlands,Europe
56,Brown University,12214.44,USA,North America
57,University of Bremen,12212.62,Germany,Europe
58,Univ. of California - Irvine,12177.9,USA,North America
59,NWPU,12045.86,China,Asia
60,University of Texas at Arlington,11911.71,USA,North America
61,Univ. of California - Merced,11903.72,USA,North America
62,Yale University,11866.62,USA,North America
63,Washington University in St. Louis,11769.31,USA,North America
64,Univ. of California - Santa Barbara,11603.79,USA,North America
65,University of Mannheim,11595.88,Germany,Europe
66,TU Munich,11548.06,Germany,Europe
67,TU Berlin,11493.57,Germany,Europe
68,National Taiwan University,11428.78,Taiwan,Asia
69,University of Oxford,11372.68,UK,Europe
70,University of Toronto,11351.56,Canada,North America
71,RWTH Aachen,11248.39,Germany,Europe
72,Chinese University of Hong Kong,11226.02,Hong Kong,Asia
73,Rice University,11178.71,USA,North America
74,MBZUAI,11112.95,UAE,Asia
75,Hebrew University of Jerusalem,10929.89,Israel,Asia
76,Imperial College London,10897.14,UK,Europe
77,Georgia Institute of Technology,10811.49,USA,North America
78,Victoria University of Wellington,10718.03,New Zealand,Australia
79,University of North Carolina,10592.23,USA,North America
80,University of Tennessee,10477.17,USA,North America
81,York University,10359.65,Canada,North America
82,Univ. of California - Davis,10292.93,USA,North America
83,University of Sydney,10292.93,Australia,Australia
84,Karlsruhe Institute of Technology,10134.23,Germany,Europe
85,University of Cambridge,10133.29,UK,Europe
86,USTC,10104.86,China,Asia
87,Purdue University,10071.75,USA,North America
88,University of Arizona,10040.5,USA,North America
89,University of Tübingen,10032.54,Germany,Europe
90,University of Michigan,9943.98,USA,North America
91,University of South Florida,9898.43,USA,North America
92,HSE University,9850.62,Russia,Europe
93,Univ. of Maryland - Baltimore County,9835.56,USA,North America
94,Rensselaer Polytechnic Institute,9795.1,USA,North America
95,University of Bern,9764.25,Switzerland,Europe
96,Tel Aviv University,9757.85,Israel,Asia
97,University of Wisconsin - Madison,9757.67,USA,North America
98,Simon Fraser University,9757.23,Canada,North America
99,University of Adelaide,9754.4,Australia,Australia
100,CWI,9724.45,Netherlands,Europe
101,University of Stuttgart,9719.54,Germany,Europe
102,Temple University,9716.81,USA,North America
103,KAIST,9650.49,South Korea,Asia
104,Brno University of Technology,9558.8,Czech Republic,Europe
105,University of Kent,9558.28,UK,Europe
106,University of Hildesheim,9501.33,Germany,Europe
107,University of Luxembourg,9411.31,Luxembourg,Europe
108,University of Manchester,9395.26,UK,Europe
109,Bar-Ilan University,9338.0,Israel,Asia
110,Vanderbilt University,9186.25,USA,North America
111,University of Illinois at Chicago,9115.67,USA,North America
112,University of Melbourne,9112.42,Australia,Australia
113,Arizona State University,9104.81,USA,North America
