Ranking,Institution,Average of Places From Four Metrics,Country,Continent
266,IIT Guwahati,272.0,India,Asia
267,University of Bern,272.0,Switzerland,Europe
268,University of Bristol,273.0,UK,Europe
269,University of Salerno,273.5,Italy,Europe
270,University of Pisa,275.0,Italy,Europe
271,Wuhan University,275.25,China,Asia
272,Qatar Computing Research Institute,275.75,Qatar,Asia
273,Utrecht University,276.5,Netherlands,Europe
274,Aarhus University,277.25,Denmark,Europe
275,Université libre de Bruxelles,279.0,Belgium,Europe
276,University of Leeds,280.0,UK,Europe
277,TU Dortmund,280.25,Germany,Europe
278,IIT Kanpur,280.25,India,Asia
279,University of Bergen,280.5,Norway,Europe
280,University of South Carolina,281.25,USA,North America
281,University of Victoria,281.75,Canada,North America
282,University College Dublin,284.25,Ireland,Europe
283,Iowa State University,284.5,USA,North America
284,University of Passau,285.25,Germany,Europe
285,University of Bath,285.5,UK,Europe
286,University of Texas at San Antonio,286.0,USA,North America
287,Aalborg University,286.0,Denmark,Europe
288,Florida International University,287.5,USA,North America
289,Paderborn University,288.25,Germany,Europe
290,University of Ulm,289.25,Germany,Europe
291,Brigham Young University,290.75,USA,North America
292,Syracuse University,291.5,USA,North America
293,Binghamton University,292.0,USA,North America
294,ETS Montreal,292.75,Canada,North America
295,University of Marburg,293.0,Germany,Europe
296,Dalhousie University,293.25,Canada,North America
297,Georgia State University,295.25,USA,North America
298,Lehigh University,295.75,USA,North America
299,Brno University of Technology,296.5,Czech Republic,Europe
300,University of Sannio,298.0,Italy,Europe
301,University of Essex,298.75,UK,Europe
302,University of Hildesheim,301.5,Germany,Europe
303,University of Hawaii at Manoa,302.0,USA,North America
304,Drexel University,303.25,USA,North America
305,IT University of Copenhagen,304.5,Denmark,Europe
306,Illinois Institute of Technology,305.25,USA,North America
307,Beihang University,305.75,China,Asia
308,Cardiff University,306.0,UK,Europe
309,University of Piraeus,306.75,Greece,Europe
310,University of Guelph,307.0,Canada,North America
311,Case Western Reserve University,307.75,USA,North America
312,University of Düsseldorf,308.75,Germany,Europe
313,University of Groningen,309.0,Netherlands,Europe
314,Scuola Superiore Sant'Anna,309.25,Italy,Europe
315,City University of London,311.0,UK,Europe
316,Florida Atlantic University,311.25,USA,North America
317,Universidad Rey Juan Carlos,311.75,Spain,Europe
