Ranking,Institution,Total h-index,Country,Continent
449,Brandeis University,280.0,USA,North America
450,Ontario Tech University,280.0,Canada,North America
451,University of Göttingen,278.0,Germany,Europe
452,Universidad de Chile,278.0,Chile,South America
453,University of Bayreuth,274.0,Germany,Europe
454,DAIICT,274.0,India,Asia
455,Cleveland State University,273.0,USA,North America
456,Cyprus University of Technology,271.0,Cyprus,Europe
457,Ryerson University,269.0,Canada,North America
458,Özyeğin University,264.0,Turkey,Europe
459,BITS Pilani,264.0,India,Asia
460,JUST,262.0,Jordan,Asia
461,University of Regina,262.0,Canada,North America
462,Ariel University,262.0,Israel,Asia
463,University of Dundee,259.0,UK,Europe
464,BUET,257.0,Bangladesh,Asia
465,University of Szeged,255.0,Hungary,Europe
466,University of Texas - El Paso,254.0,USA,North America
467,University of Louisville,250.0,USA,North America
468,University of Memphis,249.0,USA,North America
469,University of Arkansas,247.0,USA,North America
470,Tulane University,245.0,USA,North America
471,Memorial University of Newfoundland,242.0,Canada,North America
472,Louisiana State University,238.0,USA,North America
473,University of Oldenburg,238.0,Germany,Europe
474,Tata Inst. of Fundamental Research,237.0,India,Asia
475,IIT Jodhpur,236.0,India,Asia
476,Waseda University,235.0,Japan,Asia
477,Brandenburg University of Technology,234.0,Germany,Europe
478,Lebanese American University,232.0,Lebanon,Asia
479,Friedrich Schiller University Jena,231.0,Germany,Europe
480,Utah State University,231.0,USA,North America
481,University of Tulsa,229.0,USA,North America
482,University of Osnabrück,227.0,Germany,Europe
483,Yıldız Technical University,225.0,Turkey,Europe
484,Florida Institute of Technology,225.0,USA,North America
485,National Institute of Technology Silchar,225.0,India,Asia
486,University of Siegen,224.0,Germany,Europe
487,University of Marburg,220.0,Germany,Europe
488,Koç University,217.0,Turkey,Asia
489,Sabancı University,215.0,Turkey,Asia
490,University of Miami,215.0,USA,North America
491,Portland State University,212.0,USA,North America
492,Federal University of Rio Grande,212.0,Brazil,South America
493,University of Kassel,212.0,Germany,Europe
494,BITS Pilani-Goa,211.0,India,Asia
495,University of Mainz,211.0,Germany,Europe
496,IIT (BHU) Varanasi,209.0,India,Asia
497,CMI,206.0,India,Asia
498,University of Salzburg,204.0,Austria,Europe
499,Westlake University,203.0,China,Asia
500,University at Albany - SUNY,202.0,USA,North America
501,Hamburg University of Technology,200.0,Germany,Europe
502,Boston College,198.0,USA,North America
503,Wichita State University,197.0,USA,North America
504,De La Salle University,197.0,Philippines,Asia
505,IIT Indore,196.0,India,Asia
506,Michigan Technological University,196.0,USA,North America
507,IIT Gandhinagar,195.0,India,Asia
508,University of New Hampshire,193.0,USA,North America
509,TOBB ETÜ,189.0,Turkey,Asia
510,LUMS,188.0,Pakistan,Asia
511,IIT Roorkee,186.0,India,Asia
512,Scuola Superiore Sant'Anna,184.0,Italy,Europe
513,University of Molise,183.0,Italy,Europe
514,University of Bern,183.0,Switzerland,Europe
515,University of Cape Town,180.0,South Africa,Africa
516,University of Nevada Las Vegas,179.0,USA,North America
517,University of Newcastle,174.0,Australia,Australia
518,Bocconi University,174.0,Italy,Europe
519,Brno University of Technology,174.0,Czech Republic,Europe
520,University of Windsor,173.0,Canada,North America
521,Universidad Nacional de Córdoba,173.0,Argentina,South America
522,Polytechnique Montreal,172.0,Canada,North America
523,NYU Shanghai,172.0,China,Asia
524,Texas Tech University,168.0,USA,North America
525,IIT Mandi,167.0,India,Asia
