Ranking,Institution,Total Citations,Country,Continent
1,Univ. of California - Berkeley,3412088.0,USA,North America
2,Carnegie Mellon University,2977857.0,USA,North America
3,Massachusetts Institute of Technology,2728678.0,USA,North America
4,Univ. of California - San Diego,2190653.0,USA,North America
5,Stanford University,1959089.0,USA,North America
6,Univ. of Illinois at Urbana-Champaign,1642744.0,USA,North America
7,Columbia University,1505533.0,USA,North America
8,Cornell University,1419189.0,USA,North America
9,University of Edinburgh,1367369.0,UK,Europe
10,Max Planck Society,1296688.0,Germany,Europe
11,University of Maryland - College Park,1230308.0,USA,North America
12,Georgia Institute of Technology,1124395.0,USA,North America
13,University of Pennsylvania,1058493.0,USA,North America
14,University of Toronto,1055695.0,Canada,North America
15,University College London,1052402.0,UK,Europe
16,EPFL,1045852.0,Switzerland,Europe
17,Northeastern University,1041399.0,USA,North America
18,Univ. of California - Los Angeles,1029429.0,USA,North America
19,Princeton University,1022740.0,USA,North America
20,University of Washington,1014503.0,USA,North America
21,University of Montreal,1003163.0,Canada,North America
22,University of Michigan,934734.0,USA,North America
23,Nanyang Technological University,919080.0,Singapore,Asia
24,KAIST,916797.0,South Korea,Asia
25,HKUST,912535.0,Hong Kong,Asia
26,New York University,886044.0,USA,North America
27,ETH Zurich,882597.0,Switzerland,Europe
28,Tsinghua University,850124.0,China,Asia
29,Univ. of California - Irvine,828097.0,USA,North America
30,University of Texas at Austin,805196.0,USA,North America
31,Pennsylvania State University,800042.0,USA,North America
32,University of Oxford,784715.0,UK,Europe
33,Indiana University,760184.0,USA,North America
34,University of Southern California,756369.0,USA,North America
35,Harvard University,717786.0,USA,North America
36,Purdue University,715094.0,USA,North America
37,Technion,708329.0,Israel,Asia
38,University of Minnesota,702944.0,USA,North America
39,Johns Hopkins University,697994.0,USA,North America
40,Imperial College London,697417.0,UK,Europe
41,University of Wisconsin - Madison,673279.0,USA,North America
42,Duke University,645356.0,USA,North America
43,University of Waterloo,634228.0,Canada,North America
44,Universidade de Lisboa,628434.0,Portugal,Europe
45,Shanghai Jiao Tong University,627961.0,China,Asia
46,University of Alberta,611642.0,Canada,North America
47,University of Kansas,603823.0,USA,North America
48,Peking University,603065.0,China,Asia
49,Weizmann Institute of Science,592822.0,Israel,Asia
50,University of Melbourne,592307.0,Australia,Australia
51,TU Munich,577403.0,Germany,Europe
52,National University of Singapore,572931.0,Singapore,Asia
53,University of Waikato,572789.0,New Zealand,Australia
54,University of Chicago,538696.0,USA,North America
55,Michigan State University,534827.0,USA,North America
56,Stony Brook University,533909.0,USA,North America
57,University of Utah,532779.0,USA,North America
58,CUNY,519697.0,USA,North America
59,Monash University,511536.0,Australia,Australia
60,University of Massachusetts Amherst,507820.0,USA,North America
61,University of British Columbia,506378.0,Canada,North America
62,Hebrew University of Jerusalem,502775.0,Israel,Asia
63,Western University,497580.0,Canada,North America
64,University of Cambridge,496531.0,UK,Europe
65,TU Berlin,482730.0,Germany,Europe
66,Chinese Academy of Sciences,480272.0,China,Asia
67,Chinese University of Hong Kong,471493.0,Hong Kong,Asia
68,Simon Fraser University,468347.0,Canada,North America
69,University of Colorado Boulder,466085.0,USA,North America
70,California Institute of Technology,454131.0,USA,North America
71,Univ. of California - Davis,452889.0,USA,North America
72,Univ. of California - Santa Barbara,452548.0,USA,North America
73,University of Illinois at Chicago,446668.0,USA,North America
74,Rutgers University,444934.0,USA,North America
75,University of Sydney,442596.0,Australia,Australia
76,Università della Svizzera italiana,432913.0,Switzerland,Europe
77,TU Delft,431631.0,Netherlands,Europe
78,Zhejiang University,426971.0,China,Asia
79,University of North Carolina,423689.0,USA,North America
80,Politecnico di Milano,419099.0,Italy,Europe
81,University of Tennessee,419087.0,USA,North America
82,Graz University of Technology,416489.0,Austria,Europe
83,Brown University,415291.0,USA,North America
84,University of Central Florida,414692.0,USA,North America
85,Univ. of California - Santa Cruz,414197.0,USA,North America
86,University of Southampton,412974.0,UK,Europe
87,University of Kent,411006.0,UK,Europe
88,VU Amsterdam,401915.0,Netherlands,Europe
89,Victoria University of Wellington,396567.0,New Zealand,Australia
90,University of Notre Dame,396232.0,USA,North America
91,University at Buffalo,392470.0,USA,North America
92,Tel Aviv University,390314.0,Israel,Asia
93,University of Freiburg,388417.0,Germany,Europe
94,Ecole Normale Superieure,387156.0,France,Europe
95,University of Rochester,386869.0,USA,North America
96,Yale University,379732.0,USA,North America
97,Rochester Institute of Technology,376869.0,USA,North America
98,University of Texas at Arlington,369263.0,USA,North America
99,Vanderbilt University,367450.0,USA,North America
100,University of Tokyo,363031.0,Japan,Asia
101,University of Queensland,360569.0,Australia,Australia
102,Univ. of California - Riverside,359919.0,USA,North America
103,Texas A&M University,358623.0,USA,North America
104,University of Manchester,357020.0,UK,Europe
105,North Carolina State University,356367.0,USA,North America
106,University of Tübingen,351139.0,Germany,Europe
107,Boston University,347770.0,USA,North America
108,Rice University,346540.0,USA,North America
109,UNSW,344534.0,Australia,Australia
110,LMU Munich,344118.0,Germany,Europe
111,Washington University in St. Louis,341310.0,USA,North America
112,Sapienza University of Rome,339270.0,Italy,Europe
113,Oregon State University,337553.0,USA,North America
114,Harbin Institute of Technology,337261.0,China,Asia
115,Arizona State University,336878.0,USA,North America
116,Australian National University,331857.0,Australia,Oceania
117,George Mason University,329049.0,USA,North America
118,KU Leuven,327914.0,Belgium,Europe
119,TU Eindhoven,326459.0,Netherlands,Europe
120,Seoul National University,321211.0,South Korea,Asia
121,York University,321149.0,Canada,North America
122,University of Virginia,317624.0,USA,North America
123,University of Texas at Dallas,317418.0,USA,North America
124,Northwestern University,317261.0,USA,North America
125,RWTH Aachen,314955.0,Germany,Europe
126,Fudan University,314572.0,China,Asia
127,Nanjing University,313941.0,China,Asia
128,National Taiwan University,308577.0,Taiwan,Asia
129,University of Trento,306328.0,Italy,Europe
130,KTH Royal Institute of Technology,305889.0,Sweden,Europe
131,KAUST,305824.0,Saudi Arabia,Asia
132,Karlsruhe Institute of Technology,304027.0,Germany,Europe
133,CWI,301458.0,Netherlands,Europe
134,Queen’s University,300467.0,Canada,North America
135,Ohio State University,298467.0,USA,North America
136,University of Pittsburgh,298284.0,USA,North America
137,Virginia Tech,294647.0,USA,North America
138,University of Amsterdam,293829.0,Netherlands,Europe
139,University of Adelaide,292632.0,Australia,Australia
140,University of Liverpool,290772.0,UK,Europe
141,University of Copenhagen,286665.0,Denmark,Europe
142,Georgetown University,284381.0,USA,North America
143,University of York,283847.0,UK,Europe
144,University of Manitoba,278679.0,Canada,North America
145,Radboud University,277698.0,Netherlands,Europe
146,The Hong Kong Polytechnic University,277244.0,Hong Kong,Asia
147,University of Stuttgart,272147.0,Germany,Europe
148,TU Wien,271862.0,Austria,Europe
149,Queen Mary University of London,271206.0,UK,Europe
150,SUSTech,270859.0,China,Asia
151,UESTC,268072.0,China,Asia
152,Univ. of Maryland - Baltimore County,265560.0,USA,North America
153,City University of Hong Kong,264316.0,Hong Kong,Asia
154,University of Warwick,262237.0,UK,Europe
155,Uppsala University,258718.0,Sweden,Europe
156,Aalto University,256294.0,Finland,Europe
157,University of Ottawa,251877.0,Canada,North America
158,JKU Linz,249652.0,Austria,Europe
159,TU Darmstadt,241373.0,Germany,Europe
160,Czech Technical University,241303.0,Czech Republic,Europe
161,University of Arizona,240972.0,USA,North America
162,University of Auckland,240846.0,New Zealand,Australia
163,Xidian University,239975.0,China,Asia
164,UFMG,239442.0,Brazil,South America
165,NJIT,239257.0,USA,North America
166,Singapore Management University,238702.0,Singapore,Asia
167,IT University of Copenhagen,235930.0,Denmark,Europe
168,Washington State University,229865.0,USA,North America
169,Saarland University,229742.0,Germany,Europe
170,University of Surrey,228878.0,UK,Europe
171,King's College London,227996.0,UK,Europe
172,University of Hong Kong,227526.0,Hong Kong,Asia
173,IST Austria,224965.0,Austria,Europe
174,Bar-Ilan University,224112.0,Israel,Asia
175,University of Helsinki,222933.0,Finland,Europe
176,University of Technology Sydney,222372.0,Australia,Australia
177,USTC,222307.0,China,Asia
178,MBZUAI,222259.0,UAE,Asia
179,McGill University,220390.0,Canada,North America
180,Lancaster University,216915.0,UK,Europe
181,Tampere University,215456.0,Finland,Europe
182,Univ. of California - Merced,214267.0,USA,North America
183,University of Nottingham,212662.0,UK,Europe
184,University of Sheffield,211882.0,UK,Europe
185,TTI Chicago,210414.0,USA,North America
186,University of Florida,208629.0,USA,North America
187,University of South Florida,207867.0,USA,North America
188,IIT Guwahati,206845.0,India,Asia
189,University of Calgary,204392.0,Canada,North America
190,Temple University,204053.0,USA,North America
191,University of Essex,202726.0,UK,Europe
192,University of Connecticut,202486.0,USA,North America
193,CRIStAL,200595.0,France,Europe
194,Soochow University,199232.0,China,Asia
195,Polytechnic University of Catalonia,197408.0,Spain,Europe
196,Worcester Polytechnic Institute,196815.0,USA,North America
197,Rensselaer Polytechnic Institute,195902.0,USA,North America
198,University of Bremen,195402.0,Germany,Europe
199,Dartmouth College,192836.0,USA,North America
200,University of Salerno,191933.0,Italy,Europe
201,University of Birmingham,188547.0,UK,Europe
202,University of Bristol,187908.0,UK,Europe
203,Chalmers/GU,187386.0,Sweden,Europe
204,EURECOM,184200.0,France,Europe
205,University of Houston,182276.0,USA,North America
206,Brunel University London,182131.0,UK,Europe
207,University of Glasgow,181247.0,UK,Europe
208,POSTECH,179570.0,South Korea,Asia
209,National Chiao Tung University,176798.0,Taiwan,Asia
210,Utrecht University,174400.0,Netherlands,Europe
211,Carleton University,171430.0,Canada,North America
212,Aarhus University,170314.0,Denmark,Europe
213,NWPU,168642.0,China,Asia
214,Kyoto University,168500.0,Japan,Asia
215,Cardiff University,167399.0,UK,Europe
216,University of Massachusetts Lowell,165860.0,USA,North America
217,NTUA,165263.0,Greece,Europe
218,University College Dublin,164752.0,Ireland,Europe
219,Hasso Plattner Institute,164162.0,Germany,Europe
220,University of Nebraska,163803.0,USA,North America
221,University of Pisa,162059.0,Italy,Europe
222,University of Vienna,161633.0,Austria,Europe
223,Aalborg University,161301.0,Denmark,Europe
224,Clemson University,161229.0,USA,North America
225,Ecole Normale Superieure de Cachan,158644.0,France,Europe
226,HSE University,157610.0,Russia,Europe
227,University of Leipzig,156624.0,Germany,Europe
228,Emory University,155623.0,USA,North America
229,Ecole Normale Superieure de Lyon,150611.0,France,Europe
230,IIIT Hyderabad,150363.0,India,Asia
231,IIT Kanpur,148910.0,India,Asia
232,Osaka University,147075.0,Japan,Asia
233,University of Athens,146661.0,Greece,Europe
234,Tokyo Institute of Technology,145572.0,Japan,Asia
235,University of Erlangen–Nuremberg,145050.0,Germany,Europe
236,BUPT,144277.0,China,Asia
237,IISc Bangalore,143434.0,India,Asia
238,University of Klagenfurt,142871.0,Austria,Europe
239,Iowa State University,141787.0,USA,North America
240,University of South Carolina,141048.0,USA,North America
241,University of Delaware,140699.0,USA,North America
242,Goethe University Frankfurt,140451.0,Germany,Europe
243,RMIT University,138746.0,Australia,Australia
244,Florida State University,138578.0,USA,North America
245,Bilkent University,138142.0,Turkey,Asia
246,CISPA Helmholtz Center,137968.0,Germany,Europe
247,University of Crete,137848.0,Greece,Europe
248,University of Piraeus,135795.0,Greece,Europe
249,Macquarie University,133415.0,Australia,Australia
250,SUTD,132922.0,Singapore,Asia
251,AUEB,132776.0,Greece,Europe
252,IIT Kharagpur,132772.0,India,Asia
253,City University of London,132756.0,UK,Europe
254,University of Bath,132291.0,UK,Europe
255,Brigham Young University,130615.0,USA,North America
256,University of Tsukuba,129562.0,Japan,Asia
257,Dalhousie University,129399.0,Canada,North America
258,University of Leeds,127133.0,UK,Europe
259,Ruhr-University Bochum,126868.0,Germany,Europe
260,IIT Bombay,126627.0,India,Asia
261,Heidelberg University,126624.0,Germany,Europe
262,University of Warsaw,126226.0,Poland,Europe
